,city,lat,maxtemp,humidity,cloudiness,windspeed
240,kupang,-10.16,75.81,76,12,17.74
241,pisco,-13.71,71.6,30,40,6.93
242,talakan,50.29,60.87,91,100,2.98
243,borogontsy,62.67,63.75,80,0,2.42
244,takahagi,36.74,66.2,93,75,2.24
245,aksha,50.28,58.53,73,58,4.63
246,atambua,-9.11,76.17,74,0,17.18
247,manali,32.25,46.11,81,97,3
248,guaruja,-23.99,73.4,64,0,9.17
249,kieta,-6.22,78.69,84,100,11.99
250,moranbah,-22,56.01,57,0,5.99
251,asbestovskiy,57.76,57.99,79,49,5.48
252,sola,-3.17,75.99,37,68,12.17
253,victoria,5.28,78.8,88,75,2.24
254,general teran,25.27,97.41,27,0,7.92
255,kavieng,-2.57,81.75,78,100,13.22
256,kisangani,0.52,71.85,93,100,1.9
257,cabo san lucas,22.89,96.01,51,5,4.7
258,nuuk,64.17,50,76,75,4.7
259,drumnadrochit,57.34,60.8,93,75,5.82
260,russell,38.9,86,50,1,6.46
261,mehran,33.12,89.6,18,0,11.41
262,thompson,55.74,55.4,93,90,6.93
263,clyde river,70.47,46.4,81,75,13.87
264,new norfolk,-42.78,44.6,87,75,12.75
265,idrinskoye,54.37,55.11,85,98,5.93
267,doctor juan leon mallorquin,-25.4,78.8,44,0,6.93
268,alice town,25.72,84.81,73,48,12.95
269,padong,18.05,80.49,74,0,3.44
270,kortkeros,61.81,53.6,87,40,2.24
271,aswan,24.09,102.2,17,0,11.41
272,chokurdakh,70.62,56.19,93,99,13.65
273,kharovsk,59.95,42.51,76,64,0.49
275,muisne,0.61,84.2,79,75,4.7
276,moose factory,51.26,51.8,93,90,14.99
278,kaitangata,-46.28,41,90,70,4
279,gopalur,16.62,80.31,71,100,11.3
280,iranshahr,27.21,95,30,40,18.34
281,nalut,31.86,93.81,29,0,19.08
282,pangody,65.85,61.59,90,99,18.86
284,santiago de cao,-7.96,66.2,82,20,11.41
285,straumen,63.87,63,67,0,8.05
286,fukue,35.03,69.8,94,75,9.17
287,tevriz,57.51,67.35,72,92,7.38
289,lavrentiya,65.58,65.01,47,17,5.68
290,saint anthony,43.97,77,49,1,6.22
292,kahului,20.89,78.8,74,20,16.11
295,singarayakonda,15.25,86.43,57,99,16.04
296,namibe,-15.19,68,82,20,16.11
297,richards bay,-28.77,71.49,81,0,20.6
298,broken hill,-31.97,51.8,71,12,10.29
299,manicore,-5.81,87.8,66,0,3.36
300,saint-augustin,45.63,77,94,75,5.82
301,christchurch,-43.53,46,100,16,6.93
302,bereda,43.27,86,73,40,9.17
303,saldanha,41.42,92.37,21,0,2.55
304,paamiut,61.99,42.69,91,84,6.31
305,banda aceh,5.56,83.73,74,99,7.47
306,llangefni,53.26,64,88,90,18.34
307,pochutla,15.74,88,66,90,5.5
308,suntar,62.16,63.39,80,10,2.53
309,batticaloa,7.71,78.51,84,92,4.38
311,broome,52.47,77,68,20,6.93
312,laguna,16.17,87.8,70,20,4.7
313,athabasca,54.72,69.15,45,69,2.89
314,backa palanka,45.25,75.2,41,0,12.75
315,erenhot,43.65,74.91,35,31,2.24
316,general roca,-39.03,51.8,62,0,3.36
317,puertollano,38.69,100.99,14,0,2.24
318,nybro,56.75,75.2,36,0,9.17
319,cerrito,6.84,80.6,57,40,3.36
322,opuwo,-18.06,65.19,14,0,9.26
323,synya,65.37,55.65,95,96,7.67
324,beloha,-25.17,63.21,82,29,4.56
325,kununurra,-15.77,60.8,72,49,2.24
326,hobyo,5.35,78.87,71,17,21.92
327,constitucion,23.99,75.99,38,20,2.24
328,kapit,2.02,73.65,99,89,0.16
329,kulhudhuffushi,6.62,83.73,69,100,4.5
330,wageningen,51.98,78.01,56,75,9.17
331,goderich,43.74,72,81,4,13
332,onega,63.91,44.49,87,93,13.47
334,gushikawa,26.35,82.4,94,1,18.05
335,batetskiy,58.65,49.89,67,100,3.69
336,sobolevo,54.43,54.21,82,100,4.68
337,naliya,23.26,84.09,78,49,24.29
338,vardo,39.62,89.6,66,75,4.7
339,narsaq,60.91,51.8,66,75,8.05
340,douglas,58.28,64.4,72,90,5.82
341,raudeberg,61.99,69.8,77,40,4.7
342,araouane,18.9,103.71,17,0,6.42
343,viseu,40.66,99,64,0,14.99
345,anadyr,64.73,55.4,76,0,2.24
346,xichang,27.88,56.55,98,100,4.34
347,kosai,34.71,71.01,94,75,9.17
349,saint-francois,46.42,84.2,26,0,5.82
350,mirabad,28.27,80.31,11,10,13.85
351,wajima,37.4,73.47,85,97,25.28
352,shouguang,36.88,78.01,73,1,4.9
353,uray,60.13,60.87,85,0,7
354,abu dhabi,24.47,96.8,56,0,3.36
355,luanda,-8.83,78.8,65,0,11.41
356,big spring,32.25,90,42,1,12.46
357,jieshi,22.82,82,92,100,3
358,lannion,48.73,69.8,68,0,8.05
359,port blair,11.67,83.01,81,100,12.64
360,ilulissat,69.22,44.6,81,75,6.93
362,port-gentil,-0.72,78.8,78,75,11.41
364,sabang,13.8,73.65,94,0,1.54
366,vestmannaeyjar,63.44,51.8,93,90,18.34
368,bijie,27.3,60.51,99,100,4.7
369,nha trang,12.24,82.4,69,20,3.36
371,khatanga,71.98,47.37,66,19,7.38
372,bonavista,48.65,50,82,100,10
373,kurchum,48.57,60.33,75,5,3.65
374,gidole,5.65,76.17,55,69,2.77
376,sena madureira,-9.07,93.45,37,10,2.21
377,ingham,-18.65,61.41,97,44,1.43
378,lazarev,52.23,50.97,97,100,14.72
381,springbok,-29.67,55.47,65,0,4.12
382,buala,-8.15,79.59,84,100,10.85
383,xiaoshi,30.59,74.37,78,58,5.21
384,nhulunbuy,-12.18,71.6,94,90,5.82
385,kavaratti,10.57,83.73,81,100,10.47
387,itacoatiara,-3.14,87.8,66,40,3.36
388,faya,18.39,77,43,40,8.05
389,jining,35.41,82,57,76,7.23
390,itaueira,-7.6,86.61,44,44,10.65
391,nagar karnul,16.48,79.05,74,99,11.5
392,fundata,45.44,62.01,62,86,4.32
393,sosnovo-ozerskoye,52.53,54.75,90,55,2.15
394,benjamin constant,-4.38,86,69,40,4.7
395,verkhnevilyuysk,63.45,63.21,63,9,2.75
396,dasoguz,41.84,93.2,30,0,6.93
397,saint george,39.45,78.8,50,20,12.75
398,aneho,6.23,80.6,78,20,13.87
399,hounde,11.5,86.25,57,88,2.37
400,kalmunai,7.42,78.51,84,92,4.38
401,petauke,-14.25,62.49,37,0,9.06
402,kumluca,36.37,67.89,37,0,6.22
403,ulaangom,49.98,57.63,82,100,9.01
404,jahanabad,33.86,93.2,14,0,4.63
405,rancho veloz,22.88,84.2,62,75,9.17
406,oranjemund,-28.55,56.55,85,0,6.96
407,mubi,10.27,71.67,91,95,5.86
408,mezen,65.85,43.59,96,100,12.24
409,porto novo,-23.68,71.6,49,0,3.36
410,timbiqui,2.77,80.49,78,54,8.48
411,baker city,44.77,72,53,1,9.17
412,beyneu,45.32,91.29,24,0,4.32
413,dunedin,-45.87,48,84,49,21
414,san juan bautista,-26.67,83.37,42,3,10.33
415,bria,6.54,69.69,96,98,5.55
416,obihiro,42.92,50.79,93,100,1.07
417,kiama,-34.67,57.99,50,40,12.75
418,leninskoye,54.82,60.8,63,0,2.24
419,saurimo,-9.66,87.8,20,0,4.9
420,saint-pierre,48.95,82.99,36,0,5.82
421,cleethorpes,53.56,77,60,75,17.22
422,zhigansk,66.77,66.09,58,71,6.96
423,ust-maya,60.42,61.59,95,75,2.28
424,herat,34.35,89.6,19,0,11.41
425,portlethen,57.05,66.2,82,20,2.24
426,mount isa,-20.73,55.4,32,97,5.82
427,babynino,54.39,53.6,100,40,2.24
